"Index Name","Date","Open","High","Low","Close"
"NIFTY200 ALPHA 30","31 Dec 2015","-","-","-","4502.93"
"NIFTY200 ALPHA 30","30 Dec 2015","-","-","-","4490.97"
"NIFTY200 ALPHA 30","29 Dec 2015","-","-","-","4500.50"
"NIFTY200 ALPHA 30","28 Dec 2015","-","-","-","4468.40"
"NIFTY200 ALPHA 30","24 Dec 2015","-","-","-","4439.72"
"NIFTY200 ALPHA 30","23 Dec 2015","-","-","-","4432.16"
"NIFTY200 ALPHA 30","22 Dec 2015","-","-","-","4409.47"
"NIFTY200 ALPHA 30","21 Dec 2015","-","-","-","4423.14"
"NIFTY200 ALPHA 30","18 Dec 2015","-","-","-","4392.85"
"NIFTY200 ALPHA 30","17 Dec 2015","-","-","-","4400.26"
"NIFTY200 ALPHA 30","16 Dec 2015","-","-","-","4335.94"
"NIFTY200 ALPHA 30","15 Dec 2015","-","-","-","4310.08"
"NIFTY200 ALPHA 30","14 Dec 2015","-","-","-","4258.66"
"NIFTY200 ALPHA 30","11 Dec 2015","-","-","-","4272.47"
"NIFTY200 ALPHA 30","10 Dec 2015","-","-","-","4325.05"
"NIFTY200 ALPHA 30","09 Dec 2015","-","-","-","4278.33"
"NIFTY200 ALPHA 30","08 Dec 2015","-","-","-","4373.95"
"NIFTY200 ALPHA 30","07 Dec 2015","-","-","-","4397.07"
"NIFTY200 ALPHA 30","04 Dec 2015","-","-","-","4407.29"
"NIFTY200 ALPHA 30","03 Dec 2015","-","-","-","4446.53"
"NIFTY200 ALPHA 30","02 Dec 2015","-","-","-","4471.32"
"NIFTY200 ALPHA 30","01 Dec 2015","-","-","-","4473.83"
"NIFTY200 ALPHA 30","30 Nov 2015","-","-","-","4451.80"
"NIFTY200 ALPHA 30","27 Nov 2015","-","-","-","4448.71"
"NIFTY200 ALPHA 30","26 Nov 2015","-","-","-","4410.69"
"NIFTY200 ALPHA 30","24 Nov 2015","-","-","-","4436.78"
"NIFTY200 ALPHA 30","23 Nov 2015","-","-","-","4446.33"
"NIFTY200 ALPHA 30","20 Nov 2015","-","-","-","4438.25"
"NIFTY200 ALPHA 30","19 Nov 2015","-","-","-","4409.78"
"NIFTY200 ALPHA 30","18 Nov 2015","-","-","-","4338.48"
"NIFTY200 ALPHA 30","17 Nov 2015","-","-","-","4374.55"
"NIFTY200 ALPHA 30","16 Nov 2015","-","-","-","4344.68"
"NIFTY200 ALPHA 30","13 Nov 2015","-","-","-","4338.97"
"NIFTY200 ALPHA 30","11 Nov 2015","-","-","-","4406.76"
"NIFTY200 ALPHA 30","10 Nov 2015","-","-","-","4373.21"
"NIFTY200 ALPHA 30","09 Nov 2015","-","-","-","4440.11"
"NIFTY200 ALPHA 30","06 Nov 2015","-","-","-","4416.58"
"NIFTY200 ALPHA 30","05 Nov 2015","-","-","-","4433.99"
"NIFTY200 ALPHA 30","04 Nov 2015","-","-","-","4501.71"
"NIFTY200 ALPHA 30","03 Nov 2015","-","-","-","4515.52"
"NIFTY200 ALPHA 30","02 Nov 2015","-","-","-","4510.19"
"NIFTY200 ALPHA 30","30 Oct 2015","-","-","-","4519.77"
"NIFTY200 ALPHA 30","29 Oct 2015","-","-","-","4535.11"
"NIFTY200 ALPHA 30","28 Oct 2015","-","-","-","4561.51"
"NIFTY200 ALPHA 30","27 Oct 2015","-","-","-","4597.06"
"NIFTY200 ALPHA 30","26 Oct 2015","-","-","-","4601.97"
"NIFTY200 ALPHA 30","23 Oct 2015","-","-","-","4638.88"
"NIFTY200 ALPHA 30","21 Oct 2015","-","-","-","4643.54"
"NIFTY200 ALPHA 30","20 Oct 2015","-","-","-","4660.24"
"NIFTY200 ALPHA 30","19 Oct 2015","-","-","-","4633.93"
"NIFTY200 ALPHA 30","16 Oct 2015","-","-","-","4598.77"
"NIFTY200 ALPHA 30","15 Oct 2015","-","-","-","4566.78"
"NIFTY200 ALPHA 30","14 Oct 2015","-","-","-","4544.70"
"NIFTY200 ALPHA 30","13 Oct 2015","-","-","-","4521.01"
"NIFTY200 ALPHA 30","12 Oct 2015","-","-","-","4536.05"
"NIFTY200 ALPHA 30","09 Oct 2015","-","-","-","4536.29"
"NIFTY200 ALPHA 30","08 Oct 2015","-","-","-","4547.84"
"NIFTY200 ALPHA 30","07 Oct 2015","-","-","-","4586.65"
"NIFTY200 ALPHA 30","06 Oct 2015","-","-","-","4599.98"
"NIFTY200 ALPHA 30","05 Oct 2015","-","-","-","4575.50"
"NIFTY200 ALPHA 30","01 Oct 2015","-","-","-","4511.73"
"NIFTY200 ALPHA 30","30 Sep 2015","-","-","-","4485.38"
"NIFTY200 ALPHA 30","29 Sep 2015","-","-","-","4407.02"
"NIFTY200 ALPHA 30","28 Sep 2015","-","-","-","4392.35"
"NIFTY200 ALPHA 30","24 Sep 2015","-","-","-","4408.74"
"NIFTY200 ALPHA 30","23 Sep 2015","-","-","-","4376.35"
"NIFTY200 ALPHA 30","22 Sep 2015","-","-","-","4337.11"
"NIFTY200 ALPHA 30","21 Sep 2015","-","-","-","4384.23"
"NIFTY200 ALPHA 30","18 Sep 2015","-","-","-","4372.10"
"NIFTY200 ALPHA 30","16 Sep 2015","-","-","-","4338.37"
"NIFTY200 ALPHA 30","15 Sep 2015","-","-","-","4383.45"
"NIFTY200 ALPHA 30","14 Sep 2015","-","-","-","4407.59"
"NIFTY200 ALPHA 30","11 Sep 2015","-","-","-","4356.22"
"NIFTY200 ALPHA 30","10 Sep 2015","-","-","-","4332.51"
"NIFTY200 ALPHA 30","09 Sep 2015","-","-","-","4321.72"
"NIFTY200 ALPHA 30","08 Sep 2015","-","-","-","4235.32"
"NIFTY200 ALPHA 30","07 Sep 2015","-","-","-","4215.70"
"NIFTY200 ALPHA 30","04 Sep 2015","-","-","-","4343.96"
"NIFTY200 ALPHA 30","03 Sep 2015","-","-","-","4439.01"
"NIFTY200 ALPHA 30","02 Sep 2015","-","-","-","4398.86"
"NIFTY200 ALPHA 30","01 Sep 2015","-","-","-","4410.40"
"NIFTY200 ALPHA 30","31 Aug 2015","-","-","-","4520.13"
"NIFTY200 ALPHA 30","28 Aug 2015","-","-","-","4532.53"
"NIFTY200 ALPHA 30","27 Aug 2015","-","-","-","4526.14"
"NIFTY200 ALPHA 30","26 Aug 2015","-","-","-","4411.38"
"NIFTY200 ALPHA 30","25 Aug 2015","-","-","-","4447.57"
"NIFTY200 ALPHA 30","24 Aug 2015","-","-","-","4352.36"
"NIFTY200 ALPHA 30","21 Aug 2015","-","-","-","4785.57"
"NIFTY200 ALPHA 30","20 Aug 2015","-","-","-","4816.70"
"NIFTY200 ALPHA 30","19 Aug 2015","-","-","-","4875.41"
"NIFTY200 ALPHA 30","18 Aug 2015","-","-","-","4844.62"
"NIFTY200 ALPHA 30","17 Aug 2015","-","-","-","4817.69"
"NIFTY200 ALPHA 30","14 Aug 2015","-","-","-","4797.26"
"NIFTY200 ALPHA 30","13 Aug 2015","-","-","-","4703.57"
"NIFTY200 ALPHA 30","12 Aug 2015","-","-","-","4683.22"
"NIFTY200 ALPHA 30","11 Aug 2015","-","-","-","4781.73"
"NIFTY200 ALPHA 30","10 Aug 2015","-","-","-","4800.94"
"NIFTY200 ALPHA 30","07 Aug 2015","-","-","-","4787.49"
"NIFTY200 ALPHA 30","06 Aug 2015","-","-","-","4788.17"
"NIFTY200 ALPHA 30","05 Aug 2015","-","-","-","4791.56"
"NIFTY200 ALPHA 30","04 Aug 2015","-","-","-","4745.84"
"NIFTY200 ALPHA 30","03 Aug 2015","-","-","-","4671.45"
"NIFTY200 ALPHA 30","31 Jul 2015","-","-","-","4640.41"
"NIFTY200 ALPHA 30","30 Jul 2015","-","-","-","4563.61"
"NIFTY200 ALPHA 30","29 Jul 2015","-","-","-","4558.64"
"NIFTY200 ALPHA 30","28 Jul 2015","-","-","-","4519.95"
"NIFTY200 ALPHA 30","27 Jul 2015","-","-","-","4515.73"
"NIFTY200 ALPHA 30","24 Jul 2015","-","-","-","4556.18"
"NIFTY200 ALPHA 30","23 Jul 2015","-","-","-","4601.83"
"NIFTY200 ALPHA 30","22 Jul 2015","-","-","-","4613.29"
"NIFTY200 ALPHA 30","21 Jul 2015","-","-","-","4568.24"
"NIFTY200 ALPHA 30","20 Jul 2015","-","-","-","4642.40"
"NIFTY200 ALPHA 30","17 Jul 2015","-","-","-","4616.70"
"NIFTY200 ALPHA 30","16 Jul 2015","-","-","-","4601.36"
"NIFTY200 ALPHA 30","15 Jul 2015","-","-","-","4532.11"
"NIFTY200 ALPHA 30","14 Jul 2015","-","-","-","4517.61"
"NIFTY200 ALPHA 30","13 Jul 2015","-","-","-","4505.03"
"NIFTY200 ALPHA 30","10 Jul 2015","-","-","-","4425.58"
"NIFTY200 ALPHA 30","09 Jul 2015","-","-","-","4416.85"
"NIFTY200 ALPHA 30","08 Jul 2015","-","-","-","4431.97"
"NIFTY200 ALPHA 30","07 Jul 2015","-","-","-","4503.09"
"NIFTY200 ALPHA 30","06 Jul 2015","-","-","-","4501.91"
"NIFTY200 ALPHA 30","03 Jul 2015","-","-","-","4457.37"
"NIFTY200 ALPHA 30","02 Jul 2015","-","-","-","4466.66"
"NIFTY200 ALPHA 30","01 Jul 2015","-","-","-","4434.23"
"NIFTY200 ALPHA 30","30 Jun 2015","-","-","-","4375.50"
"NIFTY200 ALPHA 30","29 Jun 2015","-","-","-","4325.56"
"NIFTY200 ALPHA 30","26 Jun 2015","-","-","-","4390.09"
"NIFTY200 ALPHA 30","25 Jun 2015","-","-","-","4380.47"
"NIFTY200 ALPHA 30","24 Jun 2015","-","-","-","4370.73"
"NIFTY200 ALPHA 30","23 Jun 2015","-","-","-","4387.52"
"NIFTY200 ALPHA 30","22 Jun 2015","-","-","-","4364.32"
"NIFTY200 ALPHA 30","19 Jun 2015","-","-","-","4298.10"
"NIFTY200 ALPHA 30","18 Jun 2015","-","-","-","4264.02"
"NIFTY200 ALPHA 30","17 Jun 2015","-","-","-","4217.29"
"NIFTY200 ALPHA 30","16 Jun 2015","-","-","-","4146.96"
