"Index Name","Date","Open","High","Low","Close"
"NIFTY200 MOMENTUM 30","30 Dec 2011","-","-","-","2574.10"
"NIFTY200 MOMENTUM 30","29 Dec 2011","-","-","-","2573.35"
"NIFTY200 MOMENTUM 30","28 Dec 2011","-","-","-","2584.40"
"NIFTY200 MOMENTUM 30","27 Dec 2011","-","-","-","2603.53"
"NIFTY200 MOMENTUM 30","26 Dec 2011","-","-","-","2609.75"
"NIFTY200 MOMENTUM 30","23 Dec 2011","-","-","-","2577.92"
"NIFTY200 MOMENTUM 30","22 Dec 2011","-","-","-","2591.08"
"NIFTY200 MOMENTUM 30","21 Dec 2011","-","-","-","2572.29"
"NIFTY200 MOMENTUM 30","20 Dec 2011","-","-","-","2521.56"
"NIFTY200 MOMENTUM 30","19 Dec 2011","-","-","-","2547.78"
"NIFTY200 MOMENTUM 30","16 Dec 2011","-","-","-","2569.95"
"NIFTY200 MOMENTUM 30","15 Dec 2011","-","-","-","2608.29"
"NIFTY200 MOMENTUM 30","14 Dec 2011","-","-","-","2609.18"
"NIFTY200 MOMENTUM 30","13 Dec 2011","-","-","-","2620.00"
"NIFTY200 MOMENTUM 30","12 Dec 2011","-","-","-","2601.82"
"NIFTY200 MOMENTUM 30","09 Dec 2011","-","-","-","2657.53"
"NIFTY200 MOMENTUM 30","08 Dec 2011","-","-","-","2691.02"
"NIFTY200 MOMENTUM 30","07 Dec 2011","-","-","-","2728.08"
"NIFTY200 MOMENTUM 30","05 Dec 2011","-","-","-","2749.78"
"NIFTY200 MOMENTUM 30","02 Dec 2011","-","-","-","2755.73"
"NIFTY200 MOMENTUM 30","01 Dec 2011","-","-","-","2701.77"
"NIFTY200 MOMENTUM 30","30 Nov 2011","-","-","-","2698.34"
"NIFTY200 MOMENTUM 30","29 Nov 2011","-","-","-","2686.71"
"NIFTY200 MOMENTUM 30","28 Nov 2011","-","-","-","2692.39"
"NIFTY200 MOMENTUM 30","25 Nov 2011","-","-","-","2647.68"
"NIFTY200 MOMENTUM 30","24 Nov 2011","-","-","-","2660.84"
"NIFTY200 MOMENTUM 30","23 Nov 2011","-","-","-","2626.30"
"NIFTY200 MOMENTUM 30","22 Nov 2011","-","-","-","2666.79"
"NIFTY200 MOMENTUM 30","21 Nov 2011","-","-","-","2680.80"
"NIFTY200 MOMENTUM 30","18 Nov 2011","-","-","-","2727.98"
"NIFTY200 MOMENTUM 30","17 Nov 2011","-","-","-","2735.13"
"NIFTY200 MOMENTUM 30","16 Nov 2011","-","-","-","2769.60"
"NIFTY200 MOMENTUM 30","15 Nov 2011","-","-","-","2772.89"
"NIFTY200 MOMENTUM 30","14 Nov 2011","-","-","-","2819.42"
"NIFTY200 MOMENTUM 30","11 Nov 2011","-","-","-","2824.14"
"NIFTY200 MOMENTUM 30","09 Nov 2011","-","-","-","2817.36"
"NIFTY200 MOMENTUM 30","08 Nov 2011","-","-","-","2836.04"
"NIFTY200 MOMENTUM 30","04 Nov 2011","-","-","-","2844.07"
"NIFTY200 MOMENTUM 30","03 Nov 2011","-","-","-","2824.98"
"NIFTY200 MOMENTUM 30","02 Nov 2011","-","-","-","2821.49"
"NIFTY200 MOMENTUM 30","01 Nov 2011","-","-","-","2819.86"
"NIFTY200 MOMENTUM 30","31 Oct 2011","-","-","-","2830.16"
"NIFTY200 MOMENTUM 30","28 Oct 2011","-","-","-","2821.77"
"NIFTY200 MOMENTUM 30","26 Oct 2011","-","-","-","2790.22"
"NIFTY200 MOMENTUM 30","25 Oct 2011","-","-","-","2774.17"
"NIFTY200 MOMENTUM 30","24 Oct 2011","-","-","-","2749.49"
"NIFTY200 MOMENTUM 30","21 Oct 2011","-","-","-","2722.90"
"NIFTY200 MOMENTUM 30","20 Oct 2011","-","-","-","2734.71"
"NIFTY200 MOMENTUM 30","19 Oct 2011","-","-","-","2753.16"
