"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","31 Dec 2020","-","-","-","3911.12"
"NIFTY500 VALUE 50","30 Dec 2020","-","-","-","3898.41"
"NIFTY500 VALUE 50","29 Dec 2020","-","-","-","3888.78"
"NIFTY500 VALUE 50","28 Dec 2020","-","-","-","3902.26"
"NIFTY500 VALUE 50","24 Dec 2020","-","-","-","3831.60"
"NIFTY500 VALUE 50","23 Dec 2020","-","-","-","3797.62"
"NIFTY500 VALUE 50","22 Dec 2020","-","-","-","3713.24"
"NIFTY500 VALUE 50","21 Dec 2020","-","-","-","3673.67"
"NIFTY500 VALUE 50","18 Dec 2020","-","-","-","3936.53"
"NIFTY500 VALUE 50","17 Dec 2020","-","-","-","3958.37"
"NIFTY500 VALUE 50","16 Dec 2020","-","-","-","3997.84"
"NIFTY500 VALUE 50","15 Dec 2020","-","-","-","3945.20"
"NIFTY500 VALUE 50","14 Dec 2020","-","-","-","3957.30"
"NIFTY500 VALUE 50","11 Dec 2020","-","-","-","3873.83"
"NIFTY500 VALUE 50","10 Dec 2020","-","-","-","3821.96"
"NIFTY500 VALUE 50","09 Dec 2020","-","-","-","3856.36"
"NIFTY500 VALUE 50","08 Dec 2020","-","-","-","3827.49"
"NIFTY500 VALUE 50","07 Dec 2020","-","-","-","3851.08"
"NIFTY500 VALUE 50","04 Dec 2020","-","-","-","3802.91"
"NIFTY500 VALUE 50","03 Dec 2020","-","-","-","3767.69"
"NIFTY500 VALUE 50","02 Dec 2020","-","-","-","3668.29"
"NIFTY500 VALUE 50","01 Dec 2020","-","-","-","3618.49"
"NIFTY500 VALUE 50","27 Nov 2020","-","-","-","3562.19"
"NIFTY500 VALUE 50","26 Nov 2020","-","-","-","3544.79"
"NIFTY500 VALUE 50","25 Nov 2020","-","-","-","3480.13"
"NIFTY500 VALUE 50","24 Nov 2020","-","-","-","3496.93"
"NIFTY500 VALUE 50","23 Nov 2020","-","-","-","3472.06"
"NIFTY500 VALUE 50","20 Nov 2020","-","-","-","3403.75"
"NIFTY500 VALUE 50","19 Nov 2020","-","-","-","3393.48"
"NIFTY500 VALUE 50","18 Nov 2020","-","-","-","3402.48"
"NIFTY500 VALUE 50","17 Nov 2020","-","-","-","3378.35"
"NIFTY500 VALUE 50","14 Nov 2020","-","-","-","3355.74"
"NIFTY500 VALUE 50","13 Nov 2020","-","-","-","3328.48"
"NIFTY500 VALUE 50","12 Nov 2020","-","-","-","3290.09"
"NIFTY500 VALUE 50","11 Nov 2020","-","-","-","3267.41"
"NIFTY500 VALUE 50","10 Nov 2020","-","-","-","3217.30"
"NIFTY500 VALUE 50","09 Nov 2020","-","-","-","3172.52"
"NIFTY500 VALUE 50","06 Nov 2020","-","-","-","3135.13"
"NIFTY500 VALUE 50","05 Nov 2020","-","-","-","3118.04"
"NIFTY500 VALUE 50","04 Nov 2020","-","-","-","3014.74"
"NIFTY500 VALUE 50","03 Nov 2020","-","-","-","3025.11"
"NIFTY500 VALUE 50","02 Nov 2020","-","-","-","3003.56"
"NIFTY500 VALUE 50","30 Oct 2020","-","-","-","3000.87"
"NIFTY500 VALUE 50","29 Oct 2020","-","-","-","2964.24"
"NIFTY500 VALUE 50","28 Oct 2020","-","-","-","2985.09"
"NIFTY500 VALUE 50","27 Oct 2020","-","-","-","3024.10"
"NIFTY500 VALUE 50","26 Oct 2020","-","-","-","3009.61"
"NIFTY500 VALUE 50","23 Oct 2020","-","-","-","3065.88"
"NIFTY500 VALUE 50","22 Oct 2020","-","-","-","3047.47"
"NIFTY500 VALUE 50","21 Oct 2020","-","-","-","3013.99"
"NIFTY500 VALUE 50","20 Oct 2020","-","-","-","2978.10"
"NIFTY500 VALUE 50","19 Oct 2020","-","-","-","2990.64"
"NIFTY500 VALUE 50","16 Oct 2020","-","-","-","2942.87"
"NIFTY500 VALUE 50","15 Oct 2020","-","-","-","2885.60"
"NIFTY500 VALUE 50","14 Oct 2020","-","-","-","2919.62"
"NIFTY500 VALUE 50","13 Oct 2020","-","-","-","2926.62"
"NIFTY500 VALUE 50","12 Oct 2020","-","-","-","2936.14"
"NIFTY500 VALUE 50","09 Oct 2020","-","-","-","2976.36"
"NIFTY500 VALUE 50","08 Oct 2020","-","-","-","2971.42"
"NIFTY500 VALUE 50","07 Oct 2020","-","-","-","2977.02"
"NIFTY500 VALUE 50","06 Oct 2020","-","-","-","3005.73"
"NIFTY500 VALUE 50","05 Oct 2020","-","-","-","3005.33"
"NIFTY500 VALUE 50","01 Oct 2020","-","-","-","2998.10"
"NIFTY500 VALUE 50","30 Sep 2020","-","-","-","2979.26"
"NIFTY500 VALUE 50","29 Sep 2020","-","-","-","3009.31"
"NIFTY500 VALUE 50","28 Sep 2020","-","-","-","3024.23"
"NIFTY500 VALUE 50","25 Sep 2020","-","-","-","2946.37"
"NIFTY500 VALUE 50","24 Sep 2020","-","-","-","2847.52"
"NIFTY500 VALUE 50","23 Sep 2020","-","-","-","2973.50"
"NIFTY500 VALUE 50","22 Sep 2020","-","-","-","2991.69"
"NIFTY500 VALUE 50","21 Sep 2020","-","-","-","3040.21"
"NIFTY500 VALUE 50","18 Sep 2020","-","-","-","3186.94"
"NIFTY500 VALUE 50","17 Sep 2020","-","-","-","3177.94"
"NIFTY500 VALUE 50","16 Sep 2020","-","-","-","3205.58"
"NIFTY500 VALUE 50","15 Sep 2020","-","-","-","3205.90"
"NIFTY500 VALUE 50","14 Sep 2020","-","-","-","3185.73"
"NIFTY500 VALUE 50","11 Sep 2020","-","-","-","3176.15"
"NIFTY500 VALUE 50","10 Sep 2020","-","-","-","3166.13"
"NIFTY500 VALUE 50","09 Sep 2020","-","-","-","3138.24"
"NIFTY500 VALUE 50","08 Sep 2020","-","-","-","3159.28"
"NIFTY500 VALUE 50","07 Sep 2020","-","-","-","3216.00"
"NIFTY500 VALUE 50","04 Sep 2020","-","-","-","3228.59"
"NIFTY500 VALUE 50","03 Sep 2020","-","-","-","3303.06"
"NIFTY500 VALUE 50","02 Sep 2020","-","-","-","3301.30"
"NIFTY500 VALUE 50","01 Sep 2020","-","-","-","3270.48"
"NIFTY500 VALUE 50","31 Aug 2020","-","-","-","3235.02"
"NIFTY500 VALUE 50","28 Aug 2020","-","-","-","3378.87"
"NIFTY500 VALUE 50","27 Aug 2020","-","-","-","3362.45"
"NIFTY500 VALUE 50","26 Aug 2020","-","-","-","3361.85"
"NIFTY500 VALUE 50","25 Aug 2020","-","-","-","3344.70"
"NIFTY500 VALUE 50","24 Aug 2020","-","-","-","3334.40"
"NIFTY500 VALUE 50","21 Aug 2020","-","-","-","3347.07"
"NIFTY500 VALUE 50","20 Aug 2020","-","-","-","3340.06"
"NIFTY500 VALUE 50","19 Aug 2020","-","-","-","3276.99"
"NIFTY500 VALUE 50","18 Aug 2020","-","-","-","3250.69"
"NIFTY500 VALUE 50","17 Aug 2020","-","-","-","3205.20"
"NIFTY500 VALUE 50","14 Aug 2020","-","-","-","3144.53"
"NIFTY500 VALUE 50","13 Aug 2020","-","-","-","3172.10"
"NIFTY500 VALUE 50","12 Aug 2020","-","-","-","3129.74"
"NIFTY500 VALUE 50","11 Aug 2020","-","-","-","3124.17"
"NIFTY500 VALUE 50","10 Aug 2020","-","-","-","3099.98"
"NIFTY500 VALUE 50","07 Aug 2020","-","-","-","3058.82"
"NIFTY500 VALUE 50","06 Aug 2020","-","-","-","3047.46"
"NIFTY500 VALUE 50","05 Aug 2020","-","-","-","3015.60"
"NIFTY500 VALUE 50","04 Aug 2020","-","-","-","2972.88"
"NIFTY500 VALUE 50","03 Aug 2020","-","-","-","2955.76"
"NIFTY500 VALUE 50","31 Jul 2020","-","-","-","2967.28"
"NIFTY500 VALUE 50","30 Jul 2020","-","-","-","2977.83"
"NIFTY500 VALUE 50","29 Jul 2020","-","-","-","3047.28"
"NIFTY500 VALUE 50","28 Jul 2020","-","-","-","3031.61"
"NIFTY500 VALUE 50","27 Jul 2020","-","-","-","3004.11"
"NIFTY500 VALUE 50","24 Jul 2020","-","-","-","3029.33"
"NIFTY500 VALUE 50","23 Jul 2020","-","-","-","3076.64"
"NIFTY500 VALUE 50","22 Jul 2020","-","-","-","3055.98"
"NIFTY500 VALUE 50","21 Jul 2020","-","-","-","3067.55"
"NIFTY500 VALUE 50","20 Jul 2020","-","-","-","3023.91"
"NIFTY500 VALUE 50","17 Jul 2020","-","-","-","3014.25"
"NIFTY500 VALUE 50","16 Jul 2020","-","-","-","2932.58"
"NIFTY500 VALUE 50","15 Jul 2020","-","-","-","2913.90"
"NIFTY500 VALUE 50","14 Jul 2020","-","-","-","2945.22"
"NIFTY500 VALUE 50","13 Jul 2020","-","-","-","3022.77"
"NIFTY500 VALUE 50","10 Jul 2020","-","-","-","3007.99"
"NIFTY500 VALUE 50","09 Jul 2020","-","-","-","3033.08"
"NIFTY500 VALUE 50","08 Jul 2020","-","-","-","3014.82"
"NIFTY500 VALUE 50","07 Jul 2020","-","-","-","3007.26"
"NIFTY500 VALUE 50","06 Jul 2020","-","-","-","3037.07"
"NIFTY500 VALUE 50","03 Jul 2020","-","-","-","2978.83"
"NIFTY500 VALUE 50","02 Jul 2020","-","-","-","2966.87"
"NIFTY500 VALUE 50","01 Jul 2020","-","-","-","2938.51"
"NIFTY500 VALUE 50","30 Jun 2020","-","-","-","2912.74"
"NIFTY500 VALUE 50","29 Jun 2020","-","-","-","2952.86"
"NIFTY500 VALUE 50","26 Jun 2020","-","-","-","3027.94"
"NIFTY500 VALUE 50","25 Jun 2020","-","-","-","2989.15"
"NIFTY500 VALUE 50","24 Jun 2020","-","-","-","2985.27"
"NIFTY500 VALUE 50","23 Jun 2020","-","-","-","3055.90"
"NIFTY500 VALUE 50","22 Jun 2020","-","-","-","2998.23"
"NIFTY500 VALUE 50","19 Jun 2020","-","-","-","2886.37"
"NIFTY500 VALUE 50","18 Jun 2020","-","-","-","2829.40"
"NIFTY500 VALUE 50","17 Jun 2020","-","-","-","2763.13"
"NIFTY500 VALUE 50","16 Jun 2020","-","-","-","2774.34"
"NIFTY500 VALUE 50","15 Jun 2020","-","-","-","2777.94"
"NIFTY500 VALUE 50","12 Jun 2020","-","-","-","2819.09"
"NIFTY500 VALUE 50","11 Jun 2020","-","-","-","2798.10"
"NIFTY500 VALUE 50","10 Jun 2020","-","-","-","2868.21"
"NIFTY500 VALUE 50","09 Jun 2020","-","-","-","2842.96"
"NIFTY500 VALUE 50","08 Jun 2020","-","-","-","2878.79"
"NIFTY500 VALUE 50","05 Jun 2020","-","-","-","2837.62"
"NIFTY500 VALUE 50","04 Jun 2020","-","-","-","2726.98"
"NIFTY500 VALUE 50","03 Jun 2020","-","-","-","2719.31"
"NIFTY500 VALUE 50","02 Jun 2020","-","-","-","2708.22"
"NIFTY500 VALUE 50","01 Jun 2020","-","-","-","2693.41"
"NIFTY500 VALUE 50","29 May 2020","-","-","-","2616.37"
"NIFTY500 VALUE 50","28 May 2020","-","-","-","2570.84"
"NIFTY500 VALUE 50","27 May 2020","-","-","-","2525.58"
"NIFTY500 VALUE 50","26 May 2020","-","-","-","2471.25"
"NIFTY500 VALUE 50","22 May 2020","-","-","-","2454.86"
"NIFTY500 VALUE 50","21 May 2020","-","-","-","2487.40"
"NIFTY500 VALUE 50","20 May 2020","-","-","-","2476.69"
"NIFTY500 VALUE 50","19 May 2020","-","-","-","2450.50"
"NIFTY500 VALUE 50","18 May 2020","-","-","-","2428.11"
"NIFTY500 VALUE 50","15 May 2020","-","-","-","2531.64"
"NIFTY500 VALUE 50","14 May 2020","-","-","-","2516.96"
"NIFTY500 VALUE 50","13 May 2020","-","-","-","2558.71"
"NIFTY500 VALUE 50","12 May 2020","-","-","-","2457.50"
"NIFTY500 VALUE 50","11 May 2020","-","-","-","2449.12"
"NIFTY500 VALUE 50","08 May 2020","-","-","-","2432.10"
"NIFTY500 VALUE 50","07 May 2020","-","-","-","2467.14"
"NIFTY500 VALUE 50","06 May 2020","-","-","-","2485.83"
"NIFTY500 VALUE 50","05 May 2020","-","-","-","2491.26"
"NIFTY500 VALUE 50","04 May 2020","-","-","-","2500.79"
"NIFTY500 VALUE 50","30 Apr 2020","-","-","-","2652.01"
"NIFTY500 VALUE 50","29 Apr 2020","-","-","-","2539.08"
"NIFTY500 VALUE 50","28 Apr 2020","-","-","-","2476.58"
"NIFTY500 VALUE 50","27 Apr 2020","-","-","-","2464.16"
"NIFTY500 VALUE 50","24 Apr 2020","-","-","-","2449.23"
"NIFTY500 VALUE 50","23 Apr 2020","-","-","-","2510.61"
"NIFTY500 VALUE 50","22 Apr 2020","-","-","-","2487.28"
"NIFTY500 VALUE 50","21 Apr 2020","-","-","-","2494.25"
"NIFTY500 VALUE 50","20 Apr 2020","-","-","-","2595.55"
"NIFTY500 VALUE 50","17 Apr 2020","-","-","-","2612.14"
"NIFTY500 VALUE 50","16 Apr 2020","-","-","-","2554.26"
"NIFTY500 VALUE 50","15 Apr 2020","-","-","-","2498.35"
"NIFTY500 VALUE 50","13 Apr 2020","-","-","-","2492.48"
"NIFTY500 VALUE 50","09 Apr 2020","-","-","-","2486.20"
"NIFTY500 VALUE 50","08 Apr 2020","-","-","-","2399.51"
"NIFTY500 VALUE 50","07 Apr 2020","-","-","-","2376.49"
"NIFTY500 VALUE 50","03 Apr 2020","-","-","-","2259.72"
"NIFTY500 VALUE 50","01 Apr 2020","-","-","-","2261.06"
"NIFTY500 VALUE 50","31 Mar 2020","-","-","-","2299.01"
"NIFTY500 VALUE 50","30 Mar 2020","-","-","-","2177.77"
"NIFTY500 VALUE 50","27 Mar 2020","-","-","-","2212.32"
"NIFTY500 VALUE 50","26 Mar 2020","-","-","-","2230.70"
"NIFTY500 VALUE 50","25 Mar 2020","-","-","-","2179.16"
"NIFTY500 VALUE 50","24 Mar 2020","-","-","-","2114.85"
"NIFTY500 VALUE 50","23 Mar 2020","-","-","-","2135.52"
"NIFTY500 VALUE 50","20 Mar 2020","-","-","-","2398.60"
"NIFTY500 VALUE 50","19 Mar 2020","-","-","-","2258.62"
"NIFTY500 VALUE 50","18 Mar 2020","-","-","-","2433.16"
"NIFTY500 VALUE 50","17 Mar 2020","-","-","-","2518.45"
"NIFTY500 VALUE 50","16 Mar 2020","-","-","-","2494.14"
"NIFTY500 VALUE 50","13 Mar 2020","-","-","-","2616.23"
"NIFTY500 VALUE 50","12 Mar 2020","-","-","-","2503.08"
"NIFTY500 VALUE 50","11 Mar 2020","-","-","-","2778.25"
"NIFTY500 VALUE 50","09 Mar 2020","-","-","-","2790.60"
"NIFTY500 VALUE 50","06 Mar 2020","-","-","-","2937.67"
"NIFTY500 VALUE 50","05 Mar 2020","-","-","-","3112.12"
"NIFTY500 VALUE 50","04 Mar 2020","-","-","-","3108.29"
"NIFTY500 VALUE 50","03 Mar 2020","-","-","-","3139.65"
"NIFTY500 VALUE 50","02 Mar 2020","-","-","-","3040.98"
"NIFTY500 VALUE 50","28 Feb 2020","-","-","-","3091.82"
"NIFTY500 VALUE 50","27 Feb 2020","-","-","-","3256.03"
"NIFTY500 VALUE 50","26 Feb 2020","-","-","-","3280.90"
"NIFTY500 VALUE 50","25 Feb 2020","-","-","-","3322.80"
"NIFTY500 VALUE 50","24 Feb 2020","-","-","-","3341.08"
"NIFTY500 VALUE 50","20 Feb 2020","-","-","-","3448.71"
"NIFTY500 VALUE 50","19 Feb 2020","-","-","-","3429.30"
"NIFTY500 VALUE 50","18 Feb 2020","-","-","-","3366.29"
"NIFTY500 VALUE 50","17 Feb 2020","-","-","-","3416.40"
"NIFTY500 VALUE 50","14 Feb 2020","-","-","-","3482.39"
"NIFTY500 VALUE 50","13 Feb 2020","-","-","-","3520.60"
"NIFTY500 VALUE 50","12 Feb 2020","-","-","-","3539.85"
"NIFTY500 VALUE 50","11 Feb 2020","-","-","-","3578.73"
"NIFTY500 VALUE 50","10 Feb 2020","-","-","-","3551.52"
"NIFTY500 VALUE 50","07 Feb 2020","-","-","-","3622.11"
"NIFTY500 VALUE 50","06 Feb 2020","-","-","-","3596.12"
"NIFTY500 VALUE 50","05 Feb 2020","-","-","-","3543.74"
"NIFTY500 VALUE 50","04 Feb 2020","-","-","-","3469.08"
"NIFTY500 VALUE 50","03 Feb 2020","-","-","-","3374.75"
"NIFTY500 VALUE 50","01 Feb 2020","-","-","-","3401.20"
"NIFTY500 VALUE 50","31 Jan 2020","-","-","-","3528.42"
"NIFTY500 VALUE 50","30 Jan 2020","-","-","-","3595.29"
"NIFTY500 VALUE 50","29 Jan 2020","-","-","-","3639.70"
"NIFTY500 VALUE 50","28 Jan 2020","-","-","-","3619.73"
"NIFTY500 VALUE 50","27 Jan 2020","-","-","-","3655.85"
"NIFTY500 VALUE 50","24 Jan 2020","-","-","-","3704.61"
"NIFTY500 VALUE 50","23 Jan 2020","-","-","-","3664.36"
"NIFTY500 VALUE 50","22 Jan 2020","-","-","-","3603.97"
"NIFTY500 VALUE 50","21 Jan 2020","-","-","-","3631.93"
