Date,Close_mom,Close_val,Return_mom,Return_val,Ratio,YearMonth,regime,switch_to_value,w_mom,w_val,Portfolio_Return,Portfolio_NAV
2005-04-29,924.62,909.96,,,1.0161105982680556,2005-04,momentum,False,0.75,0.25,,1000.0
2005-05-31,1013.26,982.72,0.09586640998464224,0.07995955866191928,1.0310770107456855,2005-05,momentum,False,0.75,0.25,0.0918896971539615,1091.8896971539616
2005-06-30,1050.1,997.34,0.03635789432129943,0.014877075871051693,1.0529007159043053,2005-06,momentum,False,0.75,0.25,0.030987689708737498,1125.724836285536
2005-07-29,1143.5,1088.12,0.08894391010379965,0.09102211883610378,1.0508951218615594,2005-07,momentum,False,0.75,0.25,0.08946346228687568,1226.4360777219663
2005-08-31,1146.63,1096.75,0.0027372103191956043,0.007931110539278752,1.0454798267608845,2005-08,momentum,False,0.75,0.25,0.004035685374216391,1231.3855878632403
2005-09-30,1246.8,1206.45,0.08736035163915101,0.1000227946204697,1.0334452318786522,2005-09,momentum,False,0.75,0.25,0.09052596238448068,1342.8579532709398
2005-10-31,1132.55,1068.58,-0.09163458453641327,-0.11427742550457964,1.0598644930655636,2005-10,momentum,False,0.75,0.25,-0.09729529477845486,1212.204192861851
2005-11-30,1310.23,1183.6,0.15688490574367586,0.10763817402534204,1.1069871578235893,2005-11,momentum,False,0.75,0.25,0.1445732228140924,1387.4564597326444
2005-12-30,1396.2,1262.39,0.06561443410698886,0.06656809733017921,1.1059973542249226,2005-12,momentum,False,0.75,0.25,0.06585284991278645,1478.8244217359443
2006-01-31,1532.52,1303.48,0.09763644177052,0.03254937063823382,1.1757142418755946,2006-01,momentum,False,0.75,0.25,0.08136467398744845,1599.1484886951666
2006-02-28,1579.93,1310.65,0.030935974734424443,0.0055006597723019635,1.2054553084347461,2006-02,momentum,False,0.75,0.25,0.024577145993893823,1638.450994567742
2006-03-31,1765.65,1396.48,0.11754951168722672,0.06548659062297335,1.2643575274977086,2006-03,momentum,False,0.75,0.25,0.10453378142116337,1809.7244727031741
2006-04-29,1886.24,1427.27,0.06829779401353608,0.02204829285059584,1.321571952048316,2006-04,momentum,False,0.75,0.25,0.05673541872280102,1912.399948434889
2006-05-31,1565.67,1238.2,-0.16995186190516576,-0.1324696798783691,1.2644726215474076,2006-05,momentum,False,0.75,0.25,-0.1605813163984666,1605.304247234855
2006-06-30,1552.3,1124.17,-0.008539475112890993,-0.09209336133096424,1.3808409760089664,2006-06,momentum,False,0.75,0.25,-0.029427946667409305,1558.0634394622618
2006-07-31,1548.68,1125.85,-0.00233202344907546,0.0014944358949267045,1.3755651285695254,2006-07,momentum,False,0.75,0.25,-0.0013754086130749188,1555.9204655879084
2006-08-31,1695.64,1278.76,0.09489371593873486,0.13581738242217,1.3260033157120963,2006-08,momentum,False,0.75,0.25,0.10512463255959364,1719.4860328247892
2006-09-29,1797.42,1414.11,0.060024533509471345,0.10584472457693384,1.271060949996818,2006-09,momentum,False,0.75,0.25,0.07147958127633697,1842.3941744616147
2006-10-31,1881.0,1421.24,0.04649998330941019,0.005042040576758611,1.3234921617742252,2006-10,momentum,False,0.75,0.25,0.03613549762624729,1908.9700047794845
2006-11-30,1976.95,1400.16,0.05101010101010095,-0.014832118431791885,1.4119457776254143,2006-11,momentum,False,0.75,0.25,0.03454954614962774,1974.924052057868
2006-12-29,1990.93,1374.4,0.007071499026277905,-0.018397897383156225,1.4485811990686845,2006-12,momentum,False,0.75,0.25,0.0007041499239193727,1976.3146946788713
2007-01-31,1997.75,1411.49,0.003425534800319374,0.02698632130384171,1.415348319860573,2007-01,momentum,False,0.75,0.25,0.009315731426199958,1994.7255115881521
2007-02-28,1819.41,1245.23,-0.08927042923288697,-0.11779042005256857,1.4611035712278053,2007-02,momentum,False,0.75,0.25,-0.09640042693780737,1802.433120647318
2007-03-30,1826.31,1240.11,0.0037924382079903562,-0.004111690209840813,1.4727000024191403,2007-03,momentum,False,0.75,0.25,0.001816406103532564,1805.7070711688712
2007-04-30,2011.93,1373.65,0.10163663343025009,0.10768399577456855,1.464659847850617,2007-04,momentum,False,0.75,0.25,0.1031484740163297,1991.9630000804366
2007-05-31,2110.85,1489.92,0.04916672051214488,0.08464310413860887,1.4167539196735395,2007-05,momentum,False,0.75,0.25,0.05803581641876088,2107.5681990660687
2007-06-29,2231.57,1513.79,0.05719023142336033,0.0160209944158074,1.4741608809676376,2007-06,momentum,False,0.75,0.25,0.046897922171472095,2206.4087684369388
2007-07-31,2358.56,1588.08,0.05690612438776288,0.0490754992436202,1.4851644753412927,2007-07,momentum,False,0.75,0.25,0.05494846810172721,2327.6475502687667
2007-08-31,2297.93,1523.54,-0.02570636320466735,-0.04064027001158632,1.508283340115783,2007-08,momentum,False,0.75,0.25,-0.02943983990639709,2259.1219790303367
2007-09-28,2675.34,1830.49,0.16423911955542603,0.20147157278443628,1.4615430840922377,2007-09,momentum,False,0.75,0.25,0.1735472328626786,2651.18634719031
2007-10-31,3461.03,1967.33,0.2936785604820322,0.07475593966642813,1.7592523877539612,2007-10,momentum,False,0.75,0.25,0.2389479052781312,3284.6817713534147
2007-11-30,3695.2,2130.32,0.06765904947371149,0.08284832742854542,1.7345750873108263,2007-11,momentum,False,0.75,0.25,0.07145636896241997,3519.393203931379
2007-12-31,3967.13,2504.78,0.07359006278415259,0.1757764091779639,1.5838237290300943,2007-12,momentum,False,0.75,0.25,0.09913664938260541,3868.294054029048
2008-01-31,3187.69,1915.49,-0.1964745294457202,-0.23526617108089343,1.6641642608418734,2008-01,momentum,False,0.75,0.25,-0.2061724398545135,3070.758430835172
2008-02-29,3104.67,2014.41,-0.026043937773120973,0.05164213856506694,1.5412304347178578,2008-02,momentum,False,0.75,0.25,-0.006622418688573994,3050.422582814713
2008-03-31,2558.96,1723.67,-0.17577069382575283,-0.14433010161784343,1.4845997203641068,2008-03,value,True,0.5,0.5,-0.16005039772179813,2562.2012352156635
2008-04-30,2922.67,1916.52,0.14213195985869254,0.1118833651453004,1.5249879990816688,2008-04,value,True,0.5,0.5,0.12700766250199647,2887.620424960133
2008-05-30,2706.56,1803.1,-0.07394266201794941,-0.059180180744265676,1.5010592867838723,2008-05,value,True,0.5,0.5,-0.06656142138110754,2695.4163050656684
2008-06-30,2091.26,1397.25,-0.22733654528257263,-0.22508457656258662,1.496697083556987,2008-06,momentum,False,0.75,0.25,-0.22677355310257613,2084.16717247531
2008-07-31,2320.03,1574.61,0.10939338006751909,0.12693505099302183,1.4733997624808686,2008-07,value,True,0.5,0.5,0.11816421553027046,2330.4411514447966
2008-08-29,2325.42,1587.05,0.0023232458200970196,0.007900368980255479,1.4652468416243976,2008-08,value,True,0.5,0.5,0.005111807400176249,2342.3539177684274
2008-09-30,2037.1,1461.99,-0.12398620464260224,-0.07880028984594056,1.3933747836852508,2008-09,momentum,False,0.75,0.25,-0.11268972594343682,2078.394696712568
2008-10-31,1480.36,1106.89,-0.2733002798095332,-0.24288811824978274,1.3374048008383848,2008-10,value,True,0.5,0.5,-0.25809419902965797,1541.973082197049
2008-11-28,1473.3,1110.49,-0.004769110216433781,0.003252355699301601,1.3267116318021774,2008-11,value,True,0.5,0.5,-0.0007583772585660897,1540.8036848781896
2008-12-31,1572.82,1254.85,0.06754903957103098,0.12999666813748867,1.2533928357971074,2008-12,value,True,0.5,0.5,0.09877285385425982,1692.993262062768
2009-01-30,1563.84,1169.1,-0.005709489960707526,-0.06833486074032757,1.3376443418013857,2009-01,momentum,False,0.75,0.25,-0.021365832655612538,1656.8210513384554
2009-02-27,1512.52,1051.4,-0.03281665643544096,-0.10067573347019054,1.4385771352482404,2009-02,momentum,False,0.75,0.25,-0.049781425694128356,1574.3421372827825
