Date,Close,CAGR_1Y,CAGR_3Y,CAGR_5Y,CAGR_10Y
2005-04,924.62,,,,
2005-05,1013.26,,,,
2005-06,1050.1,,,,
2005-07,1143.5,,,,
2005-08,1146.63,,,,
2005-09,1246.8,,,,
2005-10,1132.55,,,,
2005-11,1310.23,,,,
2005-12,1396.2,,,,
2006-01,1532.52,,,,
2006-02,1579.93,,,,
2006-03,1765.65,,,,
2006-04,1886.24,104.1013,,,
2006-05,1565.67,54.5641,,,
2006-06,1552.3,47.8636,,,
2006-07,1548.68,35.2376,,,
2006-08,1695.64,47.9199,,,
2006-09,1797.42,51.6983,,,
2006-10,1881.0,66.1431,,,
2006-11,1976.95,50.9282,,,
2006-12,1990.93,47.3836,,,
2007-01,1997.75,30.3809,,,
2007-02,1819.41,15.1688,,,
2007-03,1826.31,14.3396,,,
2007-04,2011.93,6.6494,,,
2007-05,2110.85,34.8485,,,
2007-06,2231.57,38.8927,,,
2007-07,2358.56,52.3387,,,
2007-08,2297.93,35.5481,,,
2007-09,2675.34,52.7781,,,
2007-10,3461.03,84.0763,,,
2007-11,3695.2,86.9943,,,
2007-12,3967.13,98.6061,,,
2008-01,3187.69,59.6151,,,
2008-02,3104.67,70.4548,,,
2008-03,2558.96,39.8912,,,
2008-04,2922.67,45.1559,46.6951,,
2008-05,2706.56,31.4628,41.6359,,
2008-06,2091.26,-6.2585,25.8065,,
2008-07,2320.03,-1.6303,26.5346,,
2008-08,2325.42,-1.3,25.8652,,
2008-09,2037.1,-23.7012,17.7757,,
2008-10,1480.36,-57.1533,9.3355,,
2008-11,1473.3,-54.6945,8.9233,,
2008-12,1572.82,-60.2785,4.0457,,
2009-01,1563.84,-57.6251,3.7432,,
2009-02,1512.52,-49.9865,-0.4263,,
2009-03,1650.95,-35.5029,-2.2136,,
2009-04,1754.6,-29.5188,-2.3821,,
2009-05,1998.02,-29.7133,1.885,,
2009-06,2031.8,-2.8452,9.3854,,
2009-07,2260.15,-2.5827,13.426,,
2009-08,2252.11,-3.1378,9.9198,,
2009-09,2425.85,19.0977,10.4982,,
2009-10,2313.86,12.5014,8.5297,,
2009-11,2538.15,71.8303,8.684,,
2009-12,2630.06,67.2783,9.7035,,
2010-01,2502.39,53.8012,7.6916,,
2010-02,2526.87,56.376,7.9489,,
2010-03,2655.16,60.8785,13.2688,,
2010-04,2719.15,54.8336,10.5597,24.0668,
2010-05,2595.89,29.7611,7.1362,20.7047,
2010-06,2659.32,30.9091,6.0127,20.4257,
2010-07,2784.41,33.8274,7.4366,19.4724,
2010-08,2889.83,28.3385,7.9371,20.3097,
2010-09,3122.08,28.7227,5.2711,20.1546,
2010-10,3270.06,31.895,6.7218,20.9076,
2010-11,3188.9,25.6584,-4.7922,19.4729,
2010-12,3113.0,18.376,-7.7622,17.3864,
2011-01,2819.42,12.605,-4.0087,12.9687,
2011-02,2748.88,8.7423,-4.6987,11.7147,
2011-03,2994.04,12.7724,5.3773,11.1417,
2011-04,3016.41,12.553,5.4898,9.846,
2011-05,2943.37,13.3955,2.8347,13.4583,
2011-06,2951.95,11.0119,12.1849,13.7193,
2011-07,2939.97,9.747,11.7049,13.4002,
2011-08,2721.56,-2.0838,5.3821,11.7342,
2011-09,2693.97,-13.721,9.7711,8.4262,
2011-10,2830.16,-13.3927,24.1306,8.5149,
2011-11,2698.34,-15.393,22.3213,6.4202,
2011-12,2574.1,-17.9667,19.8225,5.27,
2012-01,2740.9,-2.7869,20.5633,6.5306,
2012-02,2855.55,3.8724,23.5638,9.4298,
2012-03,2944.43,6.5437,24.0965,10.0192,
2012-04,2949.87,-2.1955,18.8838,7.9504,
2012-05,2827.76,-3.9199,12.2478,6.0197,
2012-06,2970.08,0.8388,13.7099,5.8818,
2012-07,2992.82,1.7841,9.8091,4.8765,
2012-08,3069.08,12.7045,10.8654,5.9556,
2012-09,3310.35,19.8533,13.3339,4.3497,
2012-10,3284.26,16.0096,12.3679,-1.0426,
2012-11,3503.34,29.7637,11.3382,-1.0603,
2012-12,3530.15,36.9348,10.3061,-2.3061,
2013-01,3458.32,26.1145,11.363,1.6424,
2013-02,3350.37,20.4583,9.8381,0.9849,
2013-03,3387.39,17.2028,9.9734,1.7318,
2013-04,3616.11,22.6025,9.9664,4.3506,
2013-05,3700.28,30.8796,12.5393,6.4516,
2013-06,3596.75,25.0522,11.1787,5.7586,
2013-07,3615.43,20.8191,9.0852,9.2795,
2013-08,3400.18,12.5245,6.6893,7.8913,
2013-09,3662.99,10.5993,5.4691,12.4532,
2013-10,3870.88,17.8748,5.7713,21.1992,
2013-11,3817.23,14.9596,5.1421,20.9644,
2013-12,3939.08,11.5923,8.1594,20.1584,
2014-01,3905.98,12.9539,11.4755,20.0812,
2014-02,4026.95,20.2093,13.5693,21.6242,
2014-03,4056.39,19.5885,10.6498,19.6994,
2014-04,4182.03,15.6615,11.4923,18.9627,
2014-05,4379.65,19.38,12.846,16.9876,
2014-06,4821.33,33.8597,17.7614,18.8687,
2014-07,4843.79,34.0023,18.0681,16.4712,
2014-08,5155.69,39.0733,19.9859,17.6407,
2014-09,5300.4,44.7381,25.2996,16.9225,
2014-10,5611.14,44.9946,25.6196,19.3744,
2014-11,5881.96,47.5304,26.8358,20.1658,
2014-12,5826.1,47.9448,31.2551,17.2443,
2015-01,6361.32,55.7669,34.0733,20.505,
2015-02,6405.13,59.1072,31.7619,20.4236,
2015-03,6441.12,58.8398,29.8058,19.3946,
2015-04,6207.59,48.475,28.1683,17.9527,20.9719
2015-05,6493.35,50.3621,29.2264,18.6958,21.3312
2015-06,6454.93,33.9095,29.5236,19.4084,19.9159
2015-07,6890.03,42.2789,32.0676,19.8575,19.6648
2015-08,6562.2,27.0515,28.8514,17.8271,19.0619
2015-09,6579.23,24.1454,25.6957,16.0794,18.0994
2015-10,6586.36,22.2452,24.9767,15.0252,17.9521
2015-11,6348.9,7.8992,21.9357,14.7677,17.0967
2015-12,6403.94,9.9252,21.9768,15.5213,16.4504
2016-01,6045.81,3.4912,19.1049,13.9624,15.6487
2016-02,5552.91,-13.2799,18.3385,15.0927,13.3916
2016-03,6084.35,-5.5279,21.4877,15.2301,13.168
2016-04,6265.79,-2.5196,22.0369,15.7367,12.7537
2016-05,6407.14,-1.3178,20.0766,16.8251,15.1299
2016-06,6586.25,2.0302,22.2916,17.4025,15.5467
2016-07,7181.84,10.3707,25.1217,19.5492,16.4107
2016-08,7417.2,13.0008,29.6534,22.1803,15.8996
2016-09,7375.19,12.0718,26.2669,22.3039,15.1562
2016-10,7509.77,13.9894,26.2229,22.3411,15.2303
2016-11,7203.34,13.4287,23.5446,21.6893,13.801
2016-12,6948.67,8.6823,21.4264,21.9607,13.3084
2017-01,7826.06,29.1966,26.0612,23.3368,14.6284
2017-02,8086.43,30.766,26.1548,23.7418,16.0844
2017-03,8405.11,38.1737,27.4805,23.3307,16.4849
2017-04,8819.64,41.2055,28.7097,24.1118,16.9068
2017-05,8785.94,37.157,26.0864,25.4535,15.3253
2017-06,8674.41,31.7297,21.62,23.8957,14.5351
2017-07,9346.8,29.9815,24.4909,25.5828,14.7608
2017-08,9696.35,30.7519,23.3588,25.8733,15.4831
2017-09,9709.3,28.3554,22.7478,24.0008,13.7517
2017-10,10288.22,36.9095,22.3892,25.6592,11.5083
2017-11,10081.61,39.9897,19.6307,23.5441,10.5562
2017-12,10733.76,44.7366,21.524,24.6656,11.1579
2018-01,10639.64,35.98,18.6793,25.2062,12.8075
2018-02,10279.74,27.1442,17.0763,25.1386,12.3199
2018-03,10115.02,23.1249,16.0069,24.461,12.4377
2018-04,10954.05,24.0724,20.8366,24.8187,14.1267
2018-05,10694.31,21.7371,18.0538,23.6506,14.7269
2018-06,10627.71,19.2945,17.3129,24.1845,14.5319
2018-07,11000.7,17.708,16.8739,24.9296,16.8428
2018-08,11594.66,19.5922,20.8882,27.7931,17.4213
2018-09,10631.94,8.938,16.9765,25.1663,16.2739
2018-10,10009.27,-2.7132,14.952,20.9288,21.064
2018-11,10512.66,4.2786,18.3009,22.4494,21.7046
2018-12,10471.19,-2.4347,17.8058,21.5995,20.8768
2019-01,10711.95,0.6801,20.9581,22.3601,21.2149
2019-02,10660.86,3.7101,20.2006,21.4996,21.5619
2019-03,11188.09,10.5858,25.5634,22.287,21.9577
2019-04,11474.94,4.7586,22.3409,22.3727,20.6552
2019-05,11320.99,5.8641,20.9103,20.908,18.9317
2019-06,11231.11,4.6569,20.0276,20.373,18.6811
2019-07,10361.86,-5.8111,12.9814,16.4286,16.4499
2019-08,10283.03,-6.0477,12.3365,14.7914,16.2174
2019-09,10866.71,2.1975,13.8012,15.4427,16.1803
2019-10,11114.52,11.0502,13.9572,14.6505,16.9893
2019-11,11261.47,11.5468,14.0594,13.8653,16.9971
2019-12,11490.82,9.7445,18.2496,14.552,15.8904
2020-01,11817.43,10.3275,14.7363,13.1809,16.7856
2020-02,11475.15,7.6436,12.3833,12.3707,16.3297
2020-03,9252.38,-17.184,3.2524,7.5092,13.2945
2020-04,10540.04,-8.1313,6.1071,11.1642,14.5072
2020-05,10210.7,-10.2316,4.8609,9.4715,14.0255
2020-06,10878.78,-3.114,7.8382,10.999,15.1258
2020-07,11586.35,11.7917,7.4206,10.9498,15.3177
2020-08,11659.47,13.3176,6.3369,12.1774,14.9668
2020-09,12090.36,11.2362,7.5757,12.9357,14.4963
2020-10,12018.25,9.7353,7.1589,12.7763,13.8952
2020-11,12700.75,13.2003,7.0918,13.8028,14.4077
2020-12,13654.7,18.7894,8.3358,16.3429,15.9315
2021-01,13206.2,13.7302,6.949,16.906,15.4136
2021-02,14255.15,19.0942,9.9911,18.3992,17.4557
2021-03,14935.1,61.472,13.8274,19.6767,17.4317
2021-04,16351.85,55.187,14.2837,21.139,18.407
2021-05,17124.4,67.2973,16.9873,21.7312,19.2523
2021-06,17842.65,64.0689,18.8286,22.0608,19.7083
2021-07,18737.05,65.3245,20.1741,21.132,20.338
2021-08,19420.55,66.6228,18.7547,21.2316,21.7053
2021-09,19793.4,63.7675,22.966,21.8319,22.0677
2021-10,20399.3,62.4049,23.5147,22.1796,22.2413
2021-11,19942.7,56.4913,23.7854,22.592,22.1397
2021-12,20774.7,52.187,25.6484,24.4766,23.2122
2022-01,19897.25,50.3718,22.9196,20.5205,21.9209
2022-02,19335.2,35.4396,21.9455,19.0498,21.3916
2022-03,20314.7,36.0485,21.948,19.3064,21.3024
2022-04,19443.35,27.7037,19.6153,17.1213,20.5925
2022-05,17969.65,4.9394,16.646,15.3875,20.3153
2022-06,16361.5,-8.3066,13.3327,13.5335,18.6029
2022-07,17906.9,0.3338,16.3215,15.3401,19.5089
2022-08,19405.55,3.2863,23.5703,15.4611,20.3744
2022-09,19130.55,-3.3511,20.7418,14.5206,19.1665
2022-10,20019.85,-1.8513,21.6664,14.2436,19.8155
2022-11,20264.3,1.6137,21.6042,14.987,19.1888
2022-12,19444.95,-2.3101,19.3653,12.6133,18.5321
2023-01,18610.65,-6.4705,16.3406,11.8339,18.3313
2023-02,17890.95,-7.4745,15.9517,11.7215,18.2399
2023-03,18257.05,-10.1354,25.4469,12.5164,18.3332
2023-04,19315.75,-4.5782,27.0478,13.5687,18.8443
2023-05,20459.9,13.8682,26.038,13.8565,18.6525
2023-06,21312.9,30.2861,25.1471,14.9253,19.4652
2023-07,22275.85,24.2687,24.3638,15.1572,19.9439
2023-08,22211.65,14.4286,23.9837,13.8865,20.6415
2023-09,23231.25,18.103,25.1093,16.9134,21.0008
2023-10,22381.7,11.8061,23.026,17.4648,19.1842
2023-11,25061.65,23.6919,25.3695,18.9788,20.7021
2023-12,27352.7,32.0575,28.2264,20.7175,21.5738
2024-01,29048.5,56.133,30.0125,22.0852,22.2225
2024-02,29990.8,67.4538,28.0712,22.9709,22.2332
2024-03,30781.15,65.3697,28.3642,23.2171,22.3621
2024-04,32577.95,68.0025,25.8238,23.1962,22.7839
2024-05,34162.8,66.7991,25.8799,24.708,22.7933
2024-06,35298.95,65.7963,26.498,25.7265,23.0003
2024-07,37012.75,65.9836,25.4405,28.9844,22.5475
2024-08,37102.65,60.0904,24.784,29.2442,21.8017
2024-09,37588.9,61.4323,23.8298,28.1587,21.6364
2024-10,34516.1,54.0789,19.1186,25.4255,19.9185
2024-11,34248.85,48.1965,18.2852,24.9023,19.2562
2024-12,32825.0,19.843,16.4684,23.3483,18.87
2025-01,29528.55,1.6492,14.0609,20.0912,16.5849
2025-02,26676.7,-7.5924,11.3227,18.3708,15.3326
2025-03,28166.9,-8.4986,13.0042,19.3403,15.8305
2025-04,29270.6,-10.1587,14.5916,22.6676,16.7728
2025-05,30506.1,-5.8951,15.717,24.4593,16.7251
2025-06,31901.15,-9.5822,24.922,24.0104,17.3227
2025-07,30226.65,-18.3458,19.024,21.1435,15.9333
2025-08,29637.3,-18.6177,17.7381,20.3134,15.5724
2025-09,29844.65,-20.615,15.9752,19.8109,16.3215
2025-10,31443.35,-8.9082,16.2361,21.2002,16.9124
2025-11,32145.85,-6.3981,16.6357,20.3999,17.0298
2025-12,31147.55,-5.1137,16.9844,17.9338,17.1354
