Date,Close,CAGR_1Y,CAGR_3Y,CAGR_5Y,CAGR_10Y
2005-04,909.96,,,,
2005-05,982.72,,,,
2005-06,997.34,,,,
2005-07,1088.12,,,,
2005-08,1096.75,,,,
2005-09,1206.45,,,,
2005-10,1068.58,,,,
2005-11,1183.6,,,,
2005-12,1262.39,,,,
2006-01,1303.48,,,,
2006-02,1310.65,,,,
2006-03,1396.48,,,,
2006-04,1427.27,56.8981,,,
2006-05,1238.2,26.0172,,,
2006-06,1124.17,12.7261,,,
2006-07,1125.85,3.4506,,,
2006-08,1278.76,16.6077,,,
2006-09,1414.11,26.5673,,,
2006-10,1421.24,33.0287,,,
2006-11,1400.16,18.3103,,,
2006-12,1374.4,14.8608,,,
2007-01,1411.49,8.2922,,,
2007-02,1245.23,-4.9947,,,
2007-03,1240.11,-4.987,,,
2007-04,1373.65,-3.7493,,,
2007-05,1489.92,20.3448,,,
2007-06,1513.79,20.4776,,,
2007-07,1588.08,41.0893,,,
2007-08,1523.54,19.1563,,,
2007-09,1830.49,39.5657,,,
2007-10,1967.33,38.4543,,,
2007-11,2130.32,52.1921,,,
2007-12,2504.78,81.7245,,,
2008-01,1915.49,35.7353,,,
2008-02,2014.41,61.6107,,,
2008-03,1723.67,38.7753,,,
2008-04,1916.52,39.4251,28.1467,,
2008-05,1803.1,28.5197,24.8113,,
2008-06,1397.25,-7.6633,11.892,,
2008-07,1574.61,-0.8465,13.0809,,
2008-08,1587.05,-0.06,13.0116,,
2008-09,1461.99,-19.9969,6.6118,,
2008-10,1106.89,-43.6701,1.1808,,
2008-11,1110.49,-41.1481,1.258,,
2008-12,1254.85,-49.8308,-0.1993,,
2009-01,1169.1,-50.4803,-2.4574,,
2009-02,1051.4,-42.7358,-6.7513,,
2009-03,1088.3,-36.8813,-7.9735,,
2009-04,1341.32,-20.7451,-2.0486,,
2009-05,2018.17,4.9075,11.8931,,
2009-06,1945.85,39.2944,20.0626,,
2009-07,2170.03,37.8441,24.4438,,
2009-08,2240.14,40.9194,20.5434,,
2009-09,2631.21,80.047,22.9669,,
2009-10,2458.11,61.6818,19.6245,,
2009-11,2689.33,141.1558,24.2989,,
2009-12,2744.76,118.8494,25.8709,,
2010-01,2670.57,101.4082,24.0215,,
2010-02,2653.33,114.6102,22.8099,,
2010-03,2801.72,157.6068,31.1758,,
2010-04,2976.15,121.5201,29.39,26.7314,
2010-05,2920.25,44.4432,25.1402,24.34,
2010-06,3129.34,60.8736,27.353,25.7001,
2010-07,3232.24,59.8803,27.8697,24.3159,
2010-08,3472.44,55.0565,31.5931,25.9271,
2010-09,3724.58,41.5876,26.656,25.2931,
2010-10,3940.66,45.4165,28.2102,26.2462,
2010-11,3677.35,36.7678,19.9532,25.4525,
2010-12,3608.91,31.5083,12.9423,23.367,
2011-01,3256.16,21.8123,19.3414,20.0967,
2011-02,3040.52,14.5182,16.2005,18.332,
2011-03,3352.65,19.6787,24.8468,19.1465,
2011-04,3359.37,18.3261,24.2148,18.6753,
2011-05,3260.63,11.6643,21.8263,21.3706,
2011-06,3251.63,3.9106,32.5438,23.6706,
2011-07,3207.7,2.3192,31.0035,22.9308,
2011-08,2920.97,-8.9168,22.544,20.6374,
2011-09,2817.25,-24.3751,24.4587,14.7741,
2011-10,2935.13,-25.4121,38.443,15.6114,
2011-11,2619.82,-28.7745,33.0794,13.3512,
2011-12,2320.87,-34.6613,26.9852,11.0424,
2012-01,2943.86,-9.5973,36.0373,15.8395,
2012-02,3267.75,7.4575,45.8724,21.2734,
2012-03,3188.82,4.4903,43.2738,20.7815,
2012-04,3087.13,-8.0669,31.9887,17.5728,
2012-05,2821.16,-13.4524,11.7868,13.6136,
2012-06,3043.61,-6.1703,14.2425,14.9846,
2012-07,2871.01,-10.4221,9.7776,12.5671,
2012-08,2625.15,-10.0817,5.4276,11.4912,
2012-09,2999.09,2.4706,9.9453,10.374,
2012-10,2849.41,-2.9146,5.0413,7.6868,
2012-11,3043.52,16.1372,4.2093,7.3924,
2012-12,3289.02,41.4796,6.2139,5.5965,
2013-01,3328.51,13.0377,7.6011,11.6797,
2013-02,2875.75,-2.1466,2.7139,8.3296,
2013-03,2698.46,-16.2977,0.5486,5.9287,
2013-04,2928.62,-5.138,-0.5351,8.8516,
2013-05,2818.6,-0.0908,-1.1738,9.3419,
2013-06,2526.57,-9.742,-4.5966,6.8681,
2013-07,2230.09,-22.3373,-11.624,7.2097,
2013-08,2095.98,-25.2443,-13.0973,5.7181,
2013-09,2288.99,-23.5788,-14.9766,9.3818,
2013-10,2596.77,-8.8722,-12.9547,18.5976,
2013-11,2679.42,-5.5428,-11.7518,19.2542,
2013-12,2841.97,-13.6008,-7.6531,17.7647,
2014-01,2544.74,-23.5612,-7.887,16.8236,
2014-02,2526.73,-12.1444,-5.9823,19.159,
2014-03,3084.5,14.1918,-2.7398,23.1685,
2014-04,3180.98,8.6232,-1.8003,18.8434,
2014-05,4156.19,38.2235,7.1416,15.5372,
2014-06,4496.53,77.4812,11.4076,18.2398,
2014-07,4120.41,84.842,8.6863,13.6848,
2014-08,4040.1,73.719,7.7711,13.0257,
2014-09,3834.49,67.5781,10.8198,7.8239,
2014-10,4196.27,61.6489,12.6506,11.2842,
2014-11,4351.82,61.5861,13.6532,11.9038,
2014-12,4246.19,49.4512,22.2784,9.12,
2015-01,4128.34,41.2352,20.5211,9.0985,
2015-02,4029.88,59.5409,10.7429,8.709,
2015-03,3758.23,21.8589,5.628,6.0511,
2015-04,3777.11,18.7544,6.96,4.8827,15.2936
2015-05,3773.08,17.1455,6.7375,4.7825,15.1523
2015-06,3499.0,-22.1978,4.7564,2.2585,13.3751
2015-07,3576.99,-13.1969,7.6092,2.0468,12.6323
2015-08,3276.41,-18.7757,7.6721,-1.1556,11.567
2015-09,3227.98,-15.8272,2.479,-2.8218,10.3438
2015-10,3323.76,-12.3812,3.3874,-3.3464,10.5756
2015-11,3340.03,-23.1529,3.1495,-1.9061,10.933
2015-12,3275.29,-22.8789,-0.1394,-1.9216,10.0018
2016-01,2895.04,-29.8879,-4.0614,-4.247,8.5819
2016-02,2578.87,-35.9477,-3.5661,-3.2386,7.0016
2016-03,3052.45,-18.745,4.1817,-1.8579,8.1326
2016-04,3205.27,-13.6848,5.7314,-0.9344,8.4254
2016-05,3160.83,-16.1159,3.8928,-0.6195,9.8235
2016-06,3385.53,-3.2364,10.2245,0.81,11.6536
2016-07,3729.42,6.0746,13.4506,3.0586,12.6325
2016-08,3946.5,20.406,23.4537,6.1969,11.9272
2016-09,3939.11,21.9804,19.8303,6.9307,10.783
2016-10,4160.18,25.1073,21.3852,7.9684,11.2916
2016-11,4120.19,23.3048,15.4041,9.4745,11.3955
2016-12,3978.63,17.5122,13.6695,11.3775,11.2098
2017-01,4404.61,51.6669,20.0614,8.3886,12.0511
2017-02,4546.65,51.6402,21.6256,8.9356,13.8247
2017-03,4647.19,52.2884,14.6362,7.8198,14.1168
2017-04,4796.42,52.1984,15.4262,8.3697,14.3602
2017-05,4623.01,46.2975,3.6078,10.3838,11.9875
2017-06,4413.16,30.3773,-0.6218,7.7107,11.2883
2017-07,4718.65,26.3832,4.6216,10.4492,11.5034
2017-08,4803.06,21.7207,5.9175,12.8444,12.1656
2017-09,4686.41,17.2688,4.9225,9.3337,9.8526
2017-10,5214.38,25.2823,7.5076,12.8487,10.2368
2017-11,5014.47,21.7212,4.8277,10.5034,8.9364
2017-12,5198.76,24.0549,5.9325,11.1179,9.2534
2018-01,5251.56,19.2431,8.3423,9.5502,10.6101
2018-02,4891.87,7.5982,6.673,11.2119,9.7499
2018-03,4573.04,0.5393,4.1944,11.1281,8.4775
2018-04,4712.76,-1.736,7.6543,9.9836,9.4162
2018-05,4563.37,-1.2909,6.5304,10.1175,9.7289
2018-06,4236.9,-7.7668,3.829,10.8881,8.8443
2018-07,4344.05,-7.9439,6.6889,14.2674,10.6823
2018-08,4484.99,-6.6266,11.0309,16.4254,10.9427
2018-09,4077.0,-14.1286,7.3624,13.9974,9.8112
2018-10,4001.69,-23.2706,6.3753,9.0353,13.716
2018-11,3877.23,-22.6928,5.0958,7.6671,13.3127
2018-12,4091.36,-21.2113,7.6958,7.5608,12.5472
2019-01,3808.51,-27.4945,9.5516,8.3995,12.5339
2019-02,3757.01,-23.2128,8.8217,8.2584,13.5795
2019-03,4237.79,-7.3166,17.5158,10.7184,14.8291
2019-04,4122.99,-12.5223,8.7529,5.3255,11.8823
2019-05,4156.05,-8.9317,9.5604,-0.0007,7.4879
2019-06,4137.89,-8.695,9.1557,-0.0869,7.3822
2019-07,3644.97,-16.1029,-0.7597,-2.4226,5.3237
2019-08,3369.44,-20.937,-3.2362,-3.562,4.4615
2019-09,3470.53,-14.81,-4.1365,-1.9751,2.8077
2019-10,3615.13,-9.6662,-4.5721,-2.9378,3.9322
2019-11,3630.61,-8.6265,-4.3243,-3.5576,3.9446
2019-12,3630.0,-11.2837,-3.0099,-3.0875,2.8352
2020-01,3441.48,-9.6434,-7.901,-3.5726,2.5675
2020-02,3050.9,-18.806,-12.4601,-5.4147,1.4054
2020-03,2233.84,-47.0348,-21.661,-9.8777,-2.2394
2020-04,2567.26,-37.6726,-18.7725,-7.4288,-1.4668
2020-05,2565.19,-35.5193,-18.3581,-7.424,-1.4633
2020-06,2773.69,-32.7678,-14.3387,-4.5379,-1.199
2020-07,2841.5,-22.0035,-15.5512,-4.4976,-1.2796
2020-08,3033.71,-9.9189,-14.1974,-1.5268,-1.3414
2020-09,2796.83,-19.3764,-15.7906,-2.8255,-2.8237
2020-10,2813.95,-17.5875,-15.237,-3.274,-3.3102
2020-11,3375.47,-6.176,-13.1896,0.3044,-1.524
2020-12,3682.44,1.4416,-10.8378,2.3701,0.2019
2021-01,3620.43,-0.2438,-11.065,4.5715,0.0316
2021-02,4333.19,23.9465,-6.0657,8.2649,2.8776
2021-03,4304.29,92.7723,-1.9928,7.1161,2.5297
2021-04,4541.37,76.9647,-1.227,7.2141,3.0594
2021-05,4913.84,90.9657,2.4966,9.2268,4.186
2021-06,4952.51,78.624,5.3335,7.9057,4.2965
2021-07,5057.29,74.2661,5.9041,6.2783,4.656
2021-08,5109.02,68.4685,4.437,5.3,5.7477
2021-09,5544.06,98.3195,10.7655,7.0755,7.0031
2021-10,5521.41,87.8581,10.328,6.8749,6.9026
2021-11,5234.7,54.573,10.5215,4.9054,7.1662
2021-12,5258.2,42.826,8.7214,5.7331,8.5186
2022-01,5565.47,53.4091,13.4757,4.7904,6.5748
2022-02,5359.45,23.5584,12.5678,3.3446,6.1253
2022-03,5533.28,28.5748,9.2786,3.5525,5.6652
2022-04,5651.97,28.726,9.7819,3.3358,5.8419
2022-05,5362.18,9.1306,8.8625,3.0113,6.6339
2022-06,4993.44,0.827,6.4514,2.5018,5.0747
2022-07,5528.76,10.7425,9.8465,4.5375,6.1002
2022-08,5815.14,13.7453,19.9452,4.1976,7.2524
2022-09,5476.39,-1.2214,16.4174,3.1633,6.2037
2022-10,5779.5,4.6515,16.9248,2.0795,7.3292
2022-11,6265.22,19.7011,19.9211,4.555,7.4881
2022-12,6363.71,19.7927,19.9474,4.125,7.5912
2023-01,6353.61,14.1716,22.67,3.884,6.6795
2023-02,6091.08,13.6612,25.9117,4.4832,7.795
2023-03,6250.28,12.9674,40.9455,6.4383,8.756
2023-04,6652.59,18.6748,42.6087,7.651,9.3611
2023-05,6760.69,26.101,38.08,8.1797,9.1443
2023-06,7128.32,42.7885,37.0051,10.9607,10.9244
2023-07,7776.77,40.4316,39.9105,12.3538,13.3066
2023-08,7570.67,30.1186,35.668,11.0403,13.7017
2023-09,8287.24,38.7594,38.6188,15.2361,14.6104
2023-10,8028.41,38.9431,41.8197,14.9438,11.9506
2023-11,9072.15,44.8385,38.9415,18.5353,12.9691
2023-12,10255.35,57.9056,43.3545,21.109,14.2415
2024-01,11030.11,73.6694,44.907,23.7022,15.7983
2024-02,11458.52,87.8762,38.1927,24.9734,16.3183
2024-03,11579.75,81.4036,37.5544,24.8119,16.306
2024-04,12780.34,91.1757,41.1728,25.3793,14.9185
2024-05,12904.01,90.6156,37.9545,25.4205,11.9909
2024-06,13443.75,89.1237,38.6877,26.5629,12.3502
2024-07,14325.58,83.9794,41.4359,31.4725,13.2687
2024-08,14225.24,74.5402,39.8178,33.3672,13.4043
2024-09,14421.6,73.5626,37.5193,32.9452,14.1623
2024-10,13111.49,63.1496,33.335,29.3778,12.0655
2024-11,12981.63,55.9485,31.9253,29.0103,11.544
2024-12,12416.15,20.8971,33.1542,27.871,11.3249
2025-01,12022.55,8.9783,29.2626,28.412,11.2764
2025-02,11022.55,-0.0635,27.1638,29.2781,10.5842
2025-03,12398.7,7.0773,31.3309,31.7959,11.7971
2025-04,12489.2,-2.2796,30.2109,37.2245,12.7017
2025-05,12803.55,0.1679,30.345,37.9065,12.9904
2025-06,13310.75,-0.9846,38.6442,36.8509,14.2925
2025-07,12814.7,-10.5536,32.2648,35.1606,13.6087
2025-08,12405.55,-12.4887,29.9427,33.6687,13.1298
2025-09,13283.9,-7.894,34.3531,36.5685,15.1943
2025-10,14141.15,7.8587,34.7417,38.0944,15.5739
2025-11,14112.2,7.0748,33.6555,33.1071,15.4233
2025-12,14708.9,18.4796,32.1757,31.9184,16.2048
