Date,Close,YearMonth
2005-04-29,974.03,2005-04
2005-05-31,1047.16,2005-05
2005-06-30,1064.25,2005-06
2005-07-29,1224.23,2005-07
2005-08-31,1430.37,2005-08
2005-09-30,1534.38,2005-09
2005-10-31,1341.92,2005-10
2005-11-30,1541.25,2005-11
2005-12-30,1694.88,2005-12
2006-01-31,1853.6,2006-01
2006-02-28,1893.52,2006-02
2006-03-31,2162.02,2006-03
2006-04-29,2414.42,2006-04
2006-05-31,2176.96,2006-05
2006-06-30,2090.03,2006-06
2006-07-31,2024.6,2006-07
2006-08-31,2211.44,2006-08
2006-09-29,2356.52,2006-09
2006-10-31,2507.87,2006-10
2006-11-30,2644.57,2006-11
2006-12-29,2692.14,2006-12
2007-01-31,2706.76,2007-01
2007-02-28,2456.4,2007-02
2007-03-30,2412.75,2007-03
2007-04-30,2633.36,2007-04
2007-05-31,2795.64,2007-05
2007-06-29,3077.08,2007-06
2007-07-31,3246.71,2007-07
2007-08-31,3342.1,2007-08
2007-09-28,4116.04,2007-09
2007-10-31,5273.42,2007-10
2007-11-30,5549.18,2007-11
2007-12-31,6127.25,2007-12
2008-01-31,4837.99,2008-01
2008-02-29,4628.29,2008-02
2008-03-31,3723.54,2008-03
2008-04-30,4241.24,2008-04
2008-05-30,3871.97,2008-05
2008-06-30,2941.69,2008-06
2008-07-31,3287.21,2008-07
2008-08-29,3319.26,2008-08
2008-09-30,2867.49,2008-09
2008-10-31,2080.29,2008-10
2008-11-28,2026.27,2008-11
2008-12-31,2174.47,2008-12
2009-01-30,2106.28,2009-01
2009-02-27,2031.12,2009-02
2009-03-31,2173.87,2009-03
2009-04-29,2296.32,2009-04
2009-05-29,2707.99,2009-05
2009-06-30,2713.4,2009-06
2009-07-31,2993.48,2009-07
2009-08-31,2986.12,2009-08
2009-09-30,3159.13,2009-09
2009-10-30,3014.93,2009-10
2009-11-30,3271.72,2009-11
2009-12-31,3465.99,2009-12
2010-01-29,3260.39,2010-01
2010-02-26,3323.38,2010-02
2010-03-31,3514.83,2010-03
2010-04-30,3645.38,2010-04
2010-05-31,3471.2,2010-05
2010-06-30,3550.46,2010-06
2010-07-30,3703.65,2010-07
2010-08-31,3832.41,2010-08
2010-09-30,4129.0,2010-09
2010-10-29,4327.2,2010-10
2010-11-30,4124.8,2010-11
2010-12-31,4136.15,2010-12
2011-01-31,3665.54,2011-01
2011-02-28,3534.75,2011-02
2011-03-31,3932.26,2011-03
2011-04-29,3958.86,2011-04
2011-05-31,3907.19,2011-05
2011-06-30,3915.36,2011-06
2011-07-29,3983.4,2011-07
2011-08-30,3698.75,2011-08
2011-09-30,3699.57,2011-09
2011-10-31,3826.13,2011-10
2011-11-30,3549.55,2011-11
2011-12-30,3243.66,2011-12
2012-01-31,3547.07,2012-01
2012-02-29,3752.91,2012-02
2012-03-30,3869.45,2012-03
2012-04-30,3898.3,2012-04
2012-05-31,3695.2,2012-05
2012-06-29,3881.25,2012-06
2012-07-31,3895.33,2012-07
2012-08-31,4039.23,2012-08
2012-09-28,4404.98,2012-09
