Date,Close,YearMonth
2005-04-29,944.49,2005-04
2005-05-31,1040.17,2005-05
2005-06-30,1010.75,2005-06
2005-07-29,1123.39,2005-07
2005-08-31,1182.54,2005-08
2005-09-30,1226.94,2005-09
2005-10-31,1094.7,2005-10
2005-11-30,1187.43,2005-11
2005-12-01,1201.42,2005-12
2006-01-31,1238.23,2006-01
2006-02-28,1251.39,2006-02
2006-03-31,1330.86,2006-03
2006-04-29,1411.24,2006-04
2006-05-31,1293.34,2006-05
2006-06-30,1137.2,2006-06
2006-07-31,1100.1,2006-07
2006-08-31,1247.43,2006-08
2006-09-29,1363.36,2006-09
2006-10-31,1404.9,2006-10
2006-11-30,1351.77,2006-11
2006-12-29,1361.93,2006-12
2007-01-31,1472.43,2007-01
2007-02-28,1338.23,2007-02
2007-03-30,1323.78,2007-03
2007-04-30,1462.78,2007-04
2007-05-31,1576.01,2007-05
2007-06-29,1590.93,2007-06
2007-07-31,1660.27,2007-07
2007-08-31,1621.98,2007-08
2007-09-28,1905.44,2007-09
2007-10-31,2032.78,2007-10
2007-11-30,2281.78,2007-11
2007-12-31,2754.14,2007-12
2008-01-31,2015.05,2008-01
2008-02-29,2094.42,2008-02
2008-03-31,1737.71,2008-03
2008-04-30,1968.49,2008-04
2008-05-30,1859.6,2008-05
2008-06-30,1472.47,2008-06
2008-07-31,1603.84,2008-07
2008-08-29,1606.33,2008-08
2008-09-30,1416.02,2008-09
2008-10-31,1043.99,2008-10
2008-11-28,1030.61,2008-11
2008-12-31,1157.16,2008-12
2009-01-30,1116.92,2009-01
2009-02-27,1031.1,2009-02
2009-03-31,1053.71,2009-03
2009-04-29,1251.56,2009-04
2009-05-29,1952.9,2009-05
2009-06-30,1847.03,2009-06
2009-07-31,2039.37,2009-07
2009-08-31,2165.02,2009-08
2009-09-30,2490.26,2009-09
2009-10-30,2287.98,2009-10
2009-11-30,2476.57,2009-11
2009-12-31,2627.95,2009-12
2010-01-29,2559.45,2010-01
2010-02-26,2533.29,2010-02
2010-03-31,2689.58,2010-03
2010-04-30,2851.91,2010-04
2010-05-31,2709.77,2010-05
2010-06-30,2856.53,2010-06
2010-07-30,2949.55,2010-07
2010-08-31,3152.92,2010-08
2010-09-30,3316.77,2010-09
2010-10-29,3605.6,2010-10
2010-11-30,3349.7,2010-11
2010-12-31,3353.71,2010-12
2011-01-31,2998.77,2011-01
2011-02-28,2756.7,2011-02
2011-03-31,2950.87,2011-03
2011-04-29,3017.25,2011-04
2011-05-31,2935.11,2011-05
2011-06-30,2944.26,2011-06
2011-07-29,2889.34,2011-07
2011-08-30,2618.76,2011-08
2011-09-30,2532.33,2011-09
2011-10-31,2610.98,2011-10
2011-11-30,2300.39,2011-11
2011-12-30,2029.54,2011-12
2012-01-31,2519.6,2012-01
2012-02-29,2741.48,2012-02
2012-03-30,2661.6,2012-03
