Date,Close,YearMonth
2005-04-29,924.62,2005-04
2005-05-31,1013.26,2005-05
2005-06-30,1050.1,2005-06
2005-07-29,1143.5,2005-07
2005-08-31,1146.63,2005-08
2005-09-30,1246.8,2005-09
2005-10-31,1132.55,2005-10
2005-11-30,1310.23,2005-11
2005-12-30,1396.2,2005-12
2006-01-31,1532.52,2006-01
2006-02-28,1579.93,2006-02
2006-03-31,1765.65,2006-03
2006-04-29,1886.24,2006-04
2006-05-31,1565.67,2006-05
2006-06-30,1552.3,2006-06
2006-07-31,1548.68,2006-07
2006-08-31,1695.64,2006-08
2006-09-29,1797.42,2006-09
2006-10-31,1881.0,2006-10
2006-11-30,1976.95,2006-11
2006-12-29,1990.93,2006-12
2007-01-31,1997.75,2007-01
2007-02-28,1819.41,2007-02
2007-03-30,1826.31,2007-03
2007-04-30,2011.93,2007-04
2007-05-31,2110.85,2007-05
2007-06-29,2231.57,2007-06
2007-07-31,2358.56,2007-07
2007-08-31,2297.93,2007-08
2007-09-28,2675.34,2007-09
2007-10-31,3461.03,2007-10
2007-11-30,3695.2,2007-11
2007-12-31,3967.13,2007-12
2008-01-31,3187.69,2008-01
2008-02-29,3104.67,2008-02
2008-03-31,2558.96,2008-03
2008-04-30,2922.67,2008-04
2008-05-30,2706.56,2008-05
2008-06-30,2091.26,2008-06
2008-07-31,2320.03,2008-07
2008-08-29,2325.42,2008-08
2008-09-30,2037.1,2008-09
2008-10-31,1480.36,2008-10
2008-11-28,1473.3,2008-11
2008-12-31,1572.82,2008-12
2009-01-30,1563.84,2009-01
2009-02-27,1512.52,2009-02
2009-03-31,1650.95,2009-03
2009-04-29,1754.6,2009-04
2009-05-29,1998.02,2009-05
2009-06-30,2031.8,2009-06
2009-07-31,2260.15,2009-07
2009-08-31,2252.11,2009-08
2009-09-30,2425.85,2009-09
2009-10-30,2313.86,2009-10
2009-11-30,2538.15,2009-11
2009-12-31,2630.06,2009-12
2010-01-29,2502.39,2010-01
2010-02-26,2526.87,2010-02
2010-03-31,2655.16,2010-03
2010-04-30,2719.15,2010-04
2010-05-31,2595.89,2010-05
2010-06-30,2659.32,2010-06
2010-07-30,2784.41,2010-07
2010-08-31,2889.83,2010-08
2010-09-30,3122.08,2010-09
2010-10-29,3270.06,2010-10
2010-11-30,3188.9,2010-11
2010-12-31,3113.0,2010-12
2011-01-31,2819.42,2011-01
2011-02-28,2748.88,2011-02
2011-03-31,2994.04,2011-03
2011-04-29,3016.41,2011-04
2011-05-31,2943.37,2011-05
2011-06-30,2951.95,2011-06
2011-07-29,2939.97,2011-07
2011-08-30,2721.56,2011-08
2011-09-30,2693.97,2011-09
2011-10-31,2830.16,2011-10
2011-11-30,2698.34,2011-11
2011-12-30,2574.1,2011-12
2012-01-31,2740.9,2012-01
2012-02-29,2855.55,2012-02
2012-03-30,2944.43,2012-03
2012-04-30,2949.87,2012-04
2012-05-31,2827.76,2012-05
2012-06-29,2970.08,2012-06
2012-07-31,2992.82,2012-07
2012-08-31,3069.08,2012-08
2012-09-28,3310.35,2012-09
2012-10-31,3284.26,2012-10
2012-11-30,3503.34,2012-11
2012-12-31,3530.15,2012-12
2013-01-31,3458.32,2013-01
2013-02-28,3350.37,2013-02
2013-03-28,3387.39,2013-03
