Date,Close,YearMonth
2005-04-29,909.96,2005-04
2005-05-31,982.72,2005-05
2005-06-30,997.34,2005-06
2005-07-29,1088.12,2005-07
2005-08-31,1096.75,2005-08
2005-09-30,1206.45,2005-09
2005-10-31,1068.58,2005-10
2005-11-30,1183.6,2005-11
2005-12-30,1262.39,2005-12
2006-01-31,1303.48,2006-01
2006-02-28,1310.65,2006-02
2006-03-31,1396.48,2006-03
2006-04-29,1427.27,2006-04
2006-05-31,1238.2,2006-05
2006-06-30,1124.17,2006-06
2006-07-31,1125.85,2006-07
2006-08-31,1278.76,2006-08
2006-09-29,1414.11,2006-09
2006-10-31,1421.24,2006-10
2006-11-30,1400.16,2006-11
2006-12-29,1374.4,2006-12
2007-01-31,1411.49,2007-01
2007-02-28,1245.23,2007-02
2007-03-30,1240.11,2007-03
2007-04-30,1373.65,2007-04
2007-05-31,1489.92,2007-05
2007-06-29,1513.79,2007-06
2007-07-31,1588.08,2007-07
2007-08-31,1523.54,2007-08
2007-09-28,1830.49,2007-09
2007-10-31,1967.33,2007-10
2007-11-30,2130.32,2007-11
2007-12-31,2504.78,2007-12
2008-01-31,1915.49,2008-01
2008-02-29,2014.41,2008-02
2008-03-31,1723.67,2008-03
2008-04-30,1916.52,2008-04
2008-05-30,1803.1,2008-05
2008-06-30,1397.25,2008-06
2008-07-31,1574.61,2008-07
2008-08-29,1587.05,2008-08
2008-09-30,1461.99,2008-09
2008-10-31,1106.89,2008-10
2008-11-28,1110.49,2008-11
2008-12-31,1254.85,2008-12
2009-01-30,1169.1,2009-01
2009-02-27,1051.4,2009-02
2009-03-31,1088.3,2009-03
2009-04-29,1341.32,2009-04
2009-05-29,2018.17,2009-05
2009-06-30,1945.85,2009-06
2009-07-31,2170.03,2009-07
2009-08-31,2240.14,2009-08
2009-09-30,2631.21,2009-09
2009-10-30,2458.11,2009-10
2009-11-30,2689.33,2009-11
2009-12-31,2744.76,2009-12
2010-01-29,2670.57,2010-01
2010-02-26,2653.33,2010-02
2010-03-31,2801.72,2010-03
2010-04-30,2976.15,2010-04
2010-05-31,2920.25,2010-05
2010-06-30,3129.34,2010-06
2010-07-30,3232.24,2010-07
